Type,Block,Street Name,Postal,Latitude,Longitude
HDB,320,UBI AVE 1,400320,1.328805271,103.9042805
HDB,320,WOODLANDS ST 32,730320,1.431544365,103.7780952
HDB,320,YISHUN CTRL,760320,1.429443111,103.8414074
HDB,320A,ANCHORVALE DR,541320,1.3903337,103.8910028
HDB,320B,ANCHORVALE DR,542320,1.391251295,103.8908091
HDB,320C,ANCHORVALE DR,543320,1.391254015,103.8913033
HDB,320D,ANCHORVALE DR,544320,1.390952212,103.891816
HDB,321,ANG MO KIO AVE 1,560321,1.365117671,103.8483963
HDB,321,BT BATOK ST 33,650321,1.361316993,103.7477412
HDB,321,HOUGANG AVE 5,530321,1.367101312,103.898278
HDB,321,JURONG EAST ST 31,600321,1.348358186,103.7300922
HDB,321,SEMBAWANG CL,750321,1.44608015,103.8185241
HDB,321,SERANGOON AVE 2,550321,1.351205269,103.8677695
HDB,321,TAH CHING RD,610321,1.337271661,103.7243555
HDB,321,TAMPINES ST 33,520321,1.350698906,103.9575157
HDB,321,UBI AVE 1,400321,1.32851573,103.9047296
HDB,321,WOODLANDS ST 32,730321,1.431885537,103.7793232
HDB,321,YISHUN CTRL,760321,1.428879611,103.8415286
HDB,321A,ANCHORVALE DR,541321,1.390007775,103.8920341
HDB,321B,ANCHORVALE DR,542321,1.390561631,103.8922662
HDB,321C,ANCHORVALE DR,543321,1.390585781,103.8916173
HDB,322,ANG MO KIO AVE 3,560322,1.368358588,103.8477458
HDB,322,BT BATOK ST 33,650322,1.361667384,103.747725
HDB,322,HOUGANG AVE 5,530322,1.367098554,103.8969787
HDB,322,JURONG EAST ST 31,600322,1.348037932,103.7291655
HDB,322,SEMBAWANG CL,751322,1.446157468,103.8181995
HDB,322,SERANGOON AVE 3,550322,1.351755071,103.8686624
HDB,322,TAH CHING RD,610322,1.336876825,103.7245563
HDB,322,TAMPINES ST 33,520322,1.350875956,103.9581271
HDB,322,UBI AVE 1,400322,1.327912888,103.9048338
HDB,322,WOODLANDS ST 32,730322,1.431515854,103.7788816
HDB,322,YISHUN CTRL,760322,1.428734428,103.8408362
HDB,322A,ANCHORVALE DR,541322,1.391521199,103.8923137
HDB,322A,JURONG EAST ST 31,601322,1.347670587,103.7289311
HDB,322B,ANCHORVALE DR,542322,1.391342238,103.8919036
HDB,322C,ANCHORVALE DR,543322,1.391893984,103.8920923
HDB,323,ANG MO KIO AVE 3,561323,1.367541521,103.8478092
HDB,323,BT BATOK ST 33,650323,1.361032221,103.7480914
HDB,323,HOUGANG AVE 5,530323,1.367227506,103.8977983
HDB,323,JURONG EAST ST 31,600323,1.348390137,103.7289864
HDB,323,SEMBAWANG CL,750323,1.445091252,103.818075
HDB,323,SERANGOON AVE 3,550323,1.351168574,103.8694085
HDB,323,TAH CHING RD,610323,1.336818079,103.7239146
HDB,323,TAMPINES ST 33,520323,1.351590043,103.9583953
HDB,323,UBI AVE 1,400323,1.328033656,103.9043983
HDB,323,WOODLANDS ST 32,730323,1.431172749,103.7791132
HDB,323,YISHUN CTRL,760323,1.428179153,103.8412715
HDB,323A,SENGKANG EAST WAY,541323,1.392710078,103.8929995
HDB,323B,SENGKANG EAST WAY,542323,1.392095507,103.8925507
HDB,323C,SENGKANG EAST WAY,543323,1.392913337,103.8924033
HDB,324,ANG MO KIO AVE 3,560324,1.368333922,103.8468792
HDB,324,BT BATOK ST 33,650324,1.362164728,103.7476281
HDB,324,CLEMENTI AVE 5,120324,1.315135091,103.7660545
HDB,324,HOUGANG AVE 5,530324,1.367504586,103.8974183
HDB,324,JURONG EAST ST 31,601324,1.34844973,103.7296098
HDB,324,SEMBAWANG CL,750324,1.444570985,103.8178474
HDB,324,SERANGOON AVE 3,550324,1.351250964,103.8688445
HDB,324,TAH CHING RD,610324,1.336375666,103.7234505
